,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_advantage,match_outcome,home_team_recent_form,away_team_recent_form
10272,1975-09-24,Greece,Romania,1,1,Balkan Cup,Salonica,Greece,False,1,0,0.6,0.4
10274,1975-09-25,Sweden,Denmark,0,0,Nordic Championship,Malmö,Sweden,False,1,0,0.6,0.4
10277,1975-09-27,Italy,Finland,0,0,UEFA Euro qualification,Rome,Italy,False,1,0,0.4,0.0
10282,1975-10-08,Poland,Hungary,4,2,Friendly,Łódź,Poland,False,1,1,0.6,0.4
10284,1975-10-11,Germany,Greece,1,1,UEFA Euro qualification,Düsseldorf,Germany,False,1,0,0.4,0.6
10286,1975-10-12,Romania,Turkey,2,2,Friendly,Bucharest,Romania,False,1,0,0.2,0.2
10287,1975-10-12,Spain,Denmark,2,0,UEFA Euro qualification,Barcelona,Spain,False,1,1,0.6,0.2
10288,1975-10-12,Switzerland,Russia,0,1,UEFA Euro qualification,Zürich,Switzerland,False,1,2,0.2,0.6
10289,1975-10-15,Austria,Luxembourg,6,2,UEFA Euro qualification,Vienna,Austria,False,1,1,0.4,0.0
10291,1975-10-15,Netherlands,Poland,3,0,UEFA Euro qualification,Amsterdam,Netherlands,False,1,1,0.4,0.6
10296,1975-10-19,Hungary,Luxembourg,8,1,UEFA Euro qualification,Szombathely,Hungary,False,1,1,0.2,0.0
10300,1975-10-26,Poland,Italy,0,0,UEFA Euro qualification,Warsaw,Poland,False,1,0,0.6,0.4
10303,1975-10-29,Northern Ireland,Norway,3,0,UEFA Euro qualification,Belfast,Northern Ireland,False,1,1,0.4,0.4
10304,1975-10-29,Scotland,Denmark,3,1,UEFA Euro qualification,Glasgow,Scotland,False,1,1,0.4,0.2
10302,1975-10-29,Republic of Ireland,Turkey,4,0,UEFA Euro qualification,Dublin,Republic of Ireland,False,1,1,0.4,0.2
10319,1975-11-12,Russia,Switzerland,4,1,UEFA Euro qualification,Kyiv,Soviet Union,False,1,1,0.8,0.2
10320,1975-11-15,France,Belgium,0,0,UEFA Euro qualification,Paris,France,False,1,0,0.4,1.0
10321,1975-11-16,Romania,Spain,2,2,UEFA Euro qualification,Bucharest,Romania,False,1,0,0.2,0.6
10323,1975-11-19,Germany,Bulgaria,1,0,UEFA Euro qualification,Stuttgart,Germany,False,1,1,0.2,0.2
10324,1975-11-19,Portugal,England,1,1,UEFA Euro qualification,Lisbon,Portugal,False,1,0,0.4,0.6
10325,1975-11-19,Wales,Austria,1,0,UEFA Euro qualification,Wrexham,Wales,False,1,1,0.4,0.4
10328,1975-11-22,Italy,Netherlands,1,0,UEFA Euro qualification,Rome,Italy,False,1,1,0.2,0.4
10330,1975-11-23,Turkey,Russia,1,0,UEFA Euro qualification,İzmir,Turkey,False,1,1,0.0,1.0
10331,1975-11-29,Romania,Russia,2,2,Friendly,Bucharest,Romania,False,1,0,0.2,0.8
10332,1975-12-03,Portugal,Cyprus,1,0,UEFA Euro qualification,Setúbal,Portugal,False,1,1,0.4,0.0
10339,1975-12-17,Scotland,Romania,1,1,UEFA Euro qualification,Glasgow,Scotland,False,1,0,0.6,0.0
10344,1975-12-20,Turkey,Germany,0,5,Friendly,Istanbul,Turkey,False,1,2,0.2,0.4
10349,1975-12-21,Malta,Bulgaria,0,2,UEFA Euro qualification,Gżira,Malta,False,1,2,0.2,0.2
10366,1975-12-30,Italy,Greece,3,2,Friendly,Florence,Italy,False,1,1,0.4,0.4
10384,1976-02-04,Israel,Denmark,0,1,Friendly,Jaffa,Israel,False,1,2,0.2,0.2
10385,1976-02-07,Montenegro,Russia,2,1,Friendly,Podgorica,Yugoslavia,False,1,1,0.0,0.6
10402,1976-02-28,Germany,Malta,8,0,UEFA Euro qualification,Dortmund,Germany,False,1,1,0.6,0.2
10413,1976-03-03,Israel,Northern Ireland,1,1,Friendly,Jaffa,Israel,False,1,0,0.2,0.4
10436,1976-03-24,Bulgaria,Russia,0,3,Friendly,Sofia,Bulgaria,False,1,2,0.4,0.4
10437,1976-03-24,Republic of Ireland,Norway,3,0,Friendly,Dublin,Republic of Ireland,False,1,1,0.4,0.2
10439,1976-03-24,Wales,England,1,2,Friendly,Wrexham,Wales,False,1,2,0.4,0.4
10462,1976-04-07,Italy,Portugal,3,1,Friendly,Turin,Italy,False,1,1,0.4,0.6
10465,1976-04-07,Scotland,Switzerland,1,0,Friendly,Glasgow,Scotland,False,1,1,0.4,0.2
10482,1976-04-24,Spain,Germany,1,1,UEFA Euro qualification,Madrid,Spain,False,1,0,0.4,0.8
10481,1976-04-24,France,Poland,2,0,Friendly,Lens,France,False,1,1,0.4,0.4
10484,1976-04-25,Netherlands,Belgium,5,0,UEFA Euro qualification,Rotterdam,Netherlands,False,1,1,0.4,0.8
10487,1976-04-28,Austria,Sweden,1,0,Friendly,Vienna,Austria,False,1,1,0.2,0.6
10489,1976-04-30,Switzerland,Hungary,0,1,Friendly,Lausanne,Switzerland,False,1,2,0.2,0.4
10496,1976-05-06,Greece,Poland,1,0,Friendly,Athens,Greece,False,1,1,0.4,0.4
10497,1976-05-06,Scotland,Wales,3,1,British Home Championship,Glasgow,Scotland,False,1,1,0.6,0.2
10498,1976-05-08,Scotland,Northern Ireland,3,0,British Home Championship,Glasgow,Scotland,False,1,1,0.8,0.4
10499,1976-05-08,Wales,England,0,1,British Home Championship,Cardiff,Wales,False,1,2,0.2,0.6
10502,1976-05-11,England,Northern Ireland,4,0,British Home Championship,London,England,False,1,1,0.8,0.4
10504,1976-05-11,Sweden,Denmark,1,2,Friendly,Gothenburg,Sweden,False,1,2,0.6,0.2
10505,1976-05-11,Switzerland,Poland,2,1,Friendly,Basel,Switzerland,False,1,1,0.0,0.2
10506,1976-05-12,Bulgaria,Romania,1,0,Balkan Cup,Veliko Tărnovo,Bulgaria,False,1,1,0.4,0.0
10507,1976-05-14,Wales,Northern Ireland,1,0,British Home Championship,Swansea,Wales,False,1,1,0.2,0.2
10508,1976-05-15,Scotland,England,2,1,British Home Championship,Glasgow,Scotland,False,1,1,0.8,0.8
10510,1976-05-19,Finland,Switzerland,1,0,Friendly,Kuopio,Finland,False,1,1,0.0,0.2
10511,1976-05-19,Norway,Iceland,0,1,Friendly,Oslo,Norway,False,1,2,0.2,0.2
10513,1976-05-22,Belgium,Netherlands,1,2,UEFA Euro qualification,Brussels,Belgium,False,1,2,0.6,0.6
10514,1976-05-22,Germany,Spain,2,0,UEFA Euro qualification,Munich,Germany,False,1,1,0.6,0.2
10515,1976-05-22,Hungary,France,1,0,Friendly,Budapest,Hungary,False,1,1,0.6,0.4
10519,1976-05-23,Cyprus,Denmark,1,5,FIFA World Cup qualification,Limassol,Cyprus,False,1,2,0.0,0.4
10520,1976-05-26,Hungary,Russia,1,1,Friendly,Budapest,Hungary,False,1,0,0.8,0.4
10521,1976-05-26,Poland,Republic of Ireland,0,2,Friendly,Poznań,Poland,False,1,2,0.0,0.6
10522,1976-05-28,England,Italy,3,2,Friendly,New York,United States,True,0,1,0.6,0.6
10525,1976-06-01,Finland,Sweden,0,2,Nordic Championship,Helsinki,Finland,False,1,2,0.2,0.4
10530,1976-06-05,Italy,Romania,4,2,Friendly,Milan,Italy,False,1,1,0.6,0.0
10541,1976-06-12,Hungary,Austria,2,0,Friendly,Budapest,Hungary,False,1,1,0.6,0.4
10544,1976-06-13,Finland,England,1,4,FIFA World Cup qualification,Helsinki,Finland,False,1,2,0.2,0.8
10547,1976-06-16,Faroe Islands,Iceland,1,6,Friendly,Tórshavn,Faroe Islands,False,1,2,0.0,0.4
10548,1976-06-16,Sweden,Norway,2,0,FIFA World Cup qualification,Solna,Sweden,False,1,1,0.4,0.0
10552,1976-06-23,Austria,Russia,1,2,Friendly,Vienna,Austria,False,1,2,0.4,0.2
